in s,C1 in V,C2 in V
-9.0000E+00,-2.06543E+00,-6.46973E+00
-8.9982E+00,-2.07520E+00,-6.46973E+00
-8.9964E+00,-2.04590E+00,-6.51855E+00
-8.9946E+00,-2.04590E+00,-6.61621E+00
-8.9928E+00,-2.02637E+00,-6.56738E+00
-8.9910E+00,-2.05566E+00,-6.46973E+00
-8.9892E+00,-2.04590E+00,-6.46973E+00
-8.9874E+00,-2.02637E+00,-6.42090E+00
-8.9856E+00,-2.05566E+00,-6.61621E+00
-8.9838E+00,-2.01660E+00,-6.46973E+00
-8.9820E+00,-2.02637E+00,-6.42090E+00
-8.9802E+00,-2.00684E+00,-6.46973E+00
-8.9784E+00,-1.96777E+00,-6.46973E+00
-8.9766E+00,-1.97754E+00,-6.46973E+00
-8.9748E+00,-1.95801E+00,-6.42090E+00
-8.9730E+00,-1.95801E+00,-6.37207E+00
-8.9712E+00,-1.96777E+00,-6.46973E+00
-8.9694E+00,-1.93848E+00,-6.51855E+00
-8.9676E+00,-1.94824E+00,-6.46973E+00
-8.9658E+00,-1.92871E+00,-6.42090E+00
-8.9640E+00,-1.92871E+00,-6.51855E+00
-8.9622E+00,-1.93848E+00,-6.46973E+00
-8.9604E+00,-1.91895E+00,-6.51855E+00
-8.9586E+00,-1.89941E+00,-6.46973E+00
-8.9568E+00,-1.87988E+00,-6.42090E+00
-8.9550E+00,-1.86035E+00,-6.42090E+00
-8.9532E+00,-1.88965E+00,-6.42090E+00
-8.9514E+00,-1.87012E+00,-6.27441E+00
-8.9496E+00,-1.84082E+00,-6.42090E+00
-8.9478E+00,-1.85059E+00,-6.42090E+00
-8.9460E+00,-1.83105E+00,-6.27441E+00
-8.9442E+00,-1.80176E+00,-6.27441E+00
-8.9424E+00,-1.82129E+00,-6.27441E+00
-8.9406E+00,-1.79199E+00,-6.37207E+00
-8.9388E+00,-1.79199E+00,-6.42090E+00
-8.9370E+00,-1.78223E+00,-6.32324E+00
-8.9352E+00,-1.75293E+00,-6.22559E+00
-8.9334E+00,-1.78223E+00,-6.27441E+00
-8.9316E+00,-1.75293E+00,-6.27441E+00
-8.9298E+00,-1.77246E+00,-6.32324E+00
-8.9280E+00,-1.77246E+00,-6.32324E+00
-8.9262E+00,-1.71387E+00,-6.27441E+00
-8.9244E+00,-1.72363E+00,-6.32324E+00
-8.9226E+00,-1.74316E+00,-6.22559E+00
-8.9208E+00,-1.73340E+00,-6.12793E+00
-8.9190E+00,-1.66504E+00,-6.27441E+00
-8.9172E+00,-1.66504E+00,-6.12793E+00
-8.9154E+00,-1.66504E+00,-6.12793E+00
-8.9136E+00,-1.67480E+00,-6.07910E+00
-8.9118E+00,-1.64551E+00,-6.07910E+00
-8.9100E+00,-1.64551E+00,-6.07910E+00
-8.9082E+00,-1.64551E+00,-6.22559E+00
-8.9064E+00,-1.62598E+00,-6.12793E+00
-8.9046E+00,-1.61621E+00,-6.12793E+00
-8.9028E+00,-1.59668E+00,-6.12793E+00
