in s,C1 in V,C2 in V
-4.800000E+00,-8.30078E-01,1.41113E+00
-4.799040E+00,-8.88672E-01,1.42090E+00
-4.798080E+00,-8.88672E-01,1.42090E+00
-4.797120E+00,-8.49609E-01,1.39160E+00
-4.796160E+00,-9.08203E-01,1.38184E+00
-4.795200E+00,-9.66797E-01,1.36230E+00
-4.794240E+00,-9.27734E-01,1.34277E+00
-4.793280E+00,-9.47266E-01,1.32324E+00
-4.792320E+00,-9.66797E-01,1.32324E+00
-4.791360E+00,-1.00586E+00,1.28418E+00
-4.790400E+00,-1.00586E+00,1.26465E+00
-4.789440E+00,-1.06445E+00,1.27441E+00
-4.788480E+00,-1.06445E+00,1.24512E+00
-4.787520E+00,-1.04492E+00,1.23535E+00
-4.786560E+00,-1.02539E+00,1.19629E+00
-4.785600E+00,-1.12305E+00,1.17676E+00
-4.784640E+00,-1.10352E+00,1.15723E+00
-4.783680E+00,-1.08398E+00,1.16699E+00
-4.782720E+00,-1.10352E+00,1.12793E+00
-4.781760E+00,-1.12305E+00,1.11816E+00
-4.780800E+00,-1.12305E+00,1.10840E+00
-4.779840E+00,-1.14258E+00,1.10840E+00
-4.778880E+00,-1.10352E+00,1.07910E+00
-4.777920E+00,-1.18164E+00,1.04004E+00
-4.776960E+00,-1.18164E+00,1.02051E+00
-4.776000E+00,-1.22070E+00,1.03027E+00
-4.775040E+00,-1.22070E+00,1.01074E+00
-4.774080E+00,-1.22070E+00,1.00098E+00
-4.773120E+00,-1.25977E+00,9.61914E-01
-4.772160E+00,-1.24023E+00,9.32617E-01
-4.771200E+00,-1.25977E+00,9.32617E-01
-4.770240E+00,-1.24023E+00,9.13086E-01
-4.769280E+00,-1.24023E+00,9.32617E-01
-4.768320E+00,-1.24023E+00,8.93555E-01
-4.767360E+00,-1.31836E+00,8.64258E-01
-4.766400E+00,-1.33789E+00,8.54492E-01
-4.765440E+00,-1.29883E+00,8.15430E-01
-4.764480E+00,-1.35742E+00,8.25195E-01
-4.763520E+00,-1.31836E+00,8.15430E-01
-4.762560E+00,-1.41602E+00,7.56836E-01
-4.761600E+00,-1.43555E+00,7.56836E-01
-4.760640E+00,-1.35742E+00,7.37305E-01
-4.759680E+00,-1.41602E+00,7.37305E-01
-4.758720E+00,-1.43555E+00,7.17773E-01
-4.757760E+00,-1.41602E+00,6.98242E-01
-4.756800E+00,-1.45508E+00,6.68945E-01
-4.755840E+00,-1.43555E+00,6.59180E-01
-4.754880E+00,-1.47461E+00,6.49414E-01
-4.753920E+00,-1.47461E+00,6.49414E-01
-4.752960E+00,-1.45508E+00,6.10352E-01
-4.752000E+00,-1.49414E+00,6.10352E-01
-4.751040E+00,-1.53320E+00,5.90820E-01
-4.750080E+00,-1.51367E+00,5.81055E-01
-4.749120E+00,-1.55273E+00,5.12695E-01
-4.748160E+00,-1.45508E+00,5.12695E-01
-4.747200E+00,-1.57227E+00,5.12695E-01
-4.746240E+00,-1.57227E+00,4.73633E-01
-4.745280E+00,-1.59180E+00,4.54102E-01
-4.744320E+00,-1.57227E+00,4.44336E-01
-4.743360E+00,-1.57227E+00,4.24805E-01
-4.742400E+00,-1.63086E+00,4.34570E-01
-4.741440E+00,-1.59180E+00,4.15039E-01
-4.740480E+00,-1.63086E+00,3.66211E-01
-4.739520E+00,-1.63086E+00,3.46680E-01
-4.738560E+00,-1.65039E+00,3.27148E-01
-4.737600E+00,-1.65039E+00,3.27148E-01
-4.736640E+00,-1.65039E+00,3.07617E-01
-4.735680E+00,-1.70898E+00,2.58789E-01
-4.734720E+00,-1.68945E+00,2.78320E-01
-4.733760E+00,-1.66992E+00,2.29492E-01
-4.732800E+00,-1.70898E+00,2.49023E-01
-4.731840E+00,-1.76758E+00,2.09961E-01
-4.730880E+00,-1.74805E+00,2.19727E-01
-4.729920E+00,-1.70898E+00,1.80664E-01
-4.728960E+00,-1.78711E+00,1.70898E-01
-4.728000E+00,-1.72852E+00,1.41602E-01
-4.727040E+00,-1.78711E+00,1.31836E-01
-4.726080E+00,-1.76758E+00,1.02539E-01
-4.725120E+00,-1.80664E+00,1.02539E-01
-4.724160E+00,-1.78711E+00,8.30078E-02
-4.723200E+00,-1.76758E+00,6.34766E-02
-4.722240E+00,-1.78711E+00,4.39453E-02
-4.721280E+00,-1.82617E+00,4.39453E-02
-4.720320E+00,-1.80664E+00,-4.88281E-03
-4.719360E+00,-1.82617E+00,-4.39453E-02
-4.718400E+00,-1.80664E+00,-5.37109E-02
-4.717440E+00,-1.84570E+00,-8.30078E-02
-4.716480E+00,-1.88477E+00,-9.27734E-02
-4.715520E+00,-1.86523E+00,-1.31836E-01
-4.714560E+00,-1.86523E+00,-1.41602E-01
-4.713600E+00,-1.92383E+00,-1.70898E-01
-4.712640E+00,-1.92383E+00,-1.90430E-01
-4.711680E+00,-1.94336E+00,-1.61133E-01
-4.710720E+00,-1.92383E+00,-2.09961E-01
-4.709760E+00,-1.98242E+00,-2.19727E-01
-4.708800E+00,-1.92383E+00,-2.49023E-01
-4.707840E+00,-1.96289E+00,-2.49023E-01
-4.706880E+00,-1.96289E+00,-2.49023E-01
-4.705920E+00,-1.96289E+00,-2.58789E-01
-4.704960E+00,-1.94336E+00,-3.17383E-01
-4.704000E+00,-1.98242E+00,-3.17383E-01
-4.703040E+00,-2.00195E+00,-3.56445E-01
-4.702080E+00,-1.98242E+00,-3.66211E-01
-4.701120E+00,-2.00195E+00,-3.85742E-01
-4.700160E+00,-2.00195E+00,-4.15039E-01
-4.699200E+00,-2.00195E+00,-4.15039E-01
-4.698240E+00,-2.04102E+00,-4.34570E-01
-4.697280E+00,-2.02148E+00,-4.44336E-01
-4.696320E+00,-2.08008E+00,-4.73633E-01
-4.695360E+00,-2.08008E+00,-4.63867E-01
-4.694400E+00,-2.04102E+00,-4.73633E-01
-4.693440E+00,-2.02148E+00,-5.12695E-01
-4.692480E+00,-2.08008E+00,-5.12695E-01
-4.691520E+00,-2.08008E+00,-5.61523E-01
-4.690560E+00,-2.09961E+00,-5.71289E-01
-4.689600E+00,-2.13867E+00,-5.90820E-01
-4.688640E+00,-2.09961E+00,-6.10352E-01
-4.687680E+00,-2.08008E+00,-6.29883E-01
-4.686720E+00,-2.13867E+00,-6.39648E-01
-4.685760E+00,-2.09961E+00,-6.49414E-01
-4.684800E+00,-2.08008E+00,-6.78711E-01
-4.683840E+00,-2.09961E+00,-6.78711E-01
-4.682880E+00,-2.11914E+00,-6.88477E-01
-4.681920E+00,-2.13867E+00,-7.37305E-01
-4.680960E+00,-2.13867E+00,-7.37305E-01
-4.680000E+00,-2.09961E+00,-7.66602E-01
-4.679040E+00,-2.19727E+00,-7.95898E-01
-4.678080E+00,-2.13867E+00,-7.95898E-01
-4.677120E+00,-2.17773E+00,-8.05664E-01
-4.676160E+00,-2.21680E+00,-8.54492E-01
-4.675200E+00,-2.17773E+00,-8.25195E-01
-4.674240E+00,-2.21680E+00,-8.83789E-01
-4.673280E+00,-2.17773E+00,-8.74023E-01
-4.672320E+00,-2.23633E+00,-8.83789E-01
-4.671360E+00,-2.19727E+00,-9.13086E-01
-4.670400E+00,-2.23633E+00,-9.32617E-01
-4.669440E+00,-2.23633E+00,-9.61914E-01
-4.668480E+00,-2.27539E+00,-9.52148E-01
-4.667520E+00,-2.21680E+00,-9.91211E-01
-4.666560E+00,-2.27539E+00,-1.01074E+00
-4.665600E+00,-2.25586E+00,-1.01074E+00
-4.664640E+00,-2.25586E+00,-1.04004E+00
-4.663680E+00,-2.25586E+00,-1.07910E+00
-4.662720E+00,-2.21680E+00,-1.06934E+00
-4.661760E+00,-2.23633E+00,-1.09863E+00
-4.660800E+00,-2.29492E+00,-1.07910E+00
-4.659840E+00,-2.25586E+00,-1.12793E+00
-4.658880E+00,-2.27539E+00,-1.14746E+00
-4.657920E+00,-2.29492E+00,-1.11816E+00
-4.656960E+00,-2.23633E+00,-1.16699E+00
-4.656000E+00,-2.25586E+00,-1.17676E+00
-4.655040E+00,-2.29492E+00,-1.21582E+00
-4.654080E+00,-2.35352E+00,-1.24512E+00
-4.653120E+00,-2.25586E+00,-1.22559E+00
-4.652160E+00,-2.23633E+00,-1.24512E+00
-4.651200E+00,-2.27539E+00,-1.29395E+00
-4.650240E+00,-2.33398E+00,-1.28418E+00
-4.649280E+00,-2.31445E+00,-1.29395E+00
-4.648320E+00,-2.35352E+00,-1.32324E+00
-4.647360E+00,-2.27539E+00,-1.32324E+00
-4.646400E+00,-2.29492E+00,-1.34277E+00
-4.645440E+00,-2.33398E+00,-1.37207E+00
-4.644480E+00,-2.33398E+00,-1.40137E+00
-4.643520E+00,-2.35352E+00,-1.37207E+00
-4.642560E+00,-2.31445E+00,-1.43066E+00
-4.641600E+00,-2.31445E+00,-1.42090E+00
-4.640640E+00,-2.31445E+00,-1.43066E+00
-4.639680E+00,-2.37305E+00,-1.45020E+00
-4.638720E+00,-2.35352E+00,-1.45020E+00
-4.637760E+00,-2.37305E+00,-1.47949E+00
-4.636800E+00,-2.33398E+00,-1.50879E+00
-4.635840E+00,-2.39258E+00,-1.55762E+00
-4.634880E+00,-2.39258E+00,-1.54785E+00
-4.633920E+00,-2.31445E+00,-1.54785E+00
-4.632960E+00,-2.35352E+00,-1.59668E+00
-4.632000E+00,-2.35352E+00,-1.56738E+00
-4.631040E+00,-2.39258E+00,-1.58691E+00
-4.630080E+00,-2.39258E+00,-1.62598E+00
-4.629120E+00,-2.35352E+00,-1.66504E+00
-4.628160E+00,-2.39258E+00,-1.66504E+00
-4.627200E+00,-2.37305E+00,-1.67480E+00
-4.626240E+00,-2.35352E+00,-1.69434E+00
-4.625280E+00,-2.35352E+00,-1.71387E+00
-4.624320E+00,-2.33398E+00,-1.68457E+00
-4.623360E+00,-2.35352E+00,-1.74316E+00
-4.622400E+00,-2.37305E+00,-1.73340E+00
-4.621440E+00,-2.37305E+00,-1.75293E+00
-4.620480E+00,-2.35352E+00,-1.78223E+00
-4.619520E+00,-2.37305E+00,-1.77246E+00
-4.618560E+00,-2.35352E+00,-1.80176E+00
-4.617600E+00,-2.41211E+00,-1.79199E+00
-4.616640E+00,-2.37305E+00,-1.81152E+00
-4.615680E+00,-2.37305E+00,-1.83105E+00
-4.614720E+00,-2.43164E+00,-1.85059E+00
-4.613760E+00,-2.39258E+00,-1.86035E+00
-4.612800E+00,-2.37305E+00,-1.87988E+00
-4.611840E+00,-2.33398E+00,-1.89941E+00
-4.610880E+00,-2.41211E+00,-1.90918E+00
-4.609920E+00,-2.35352E+00,-1.93848E+00
-4.608960E+00,-2.37305E+00,-1.93848E+00
