f / mHz,fpp / V,Vpp / V,phs / deg
200,4.86,3.6456,1.73
400,4.84,3.8024,2.6
500,4.86,4.0278,3.8
600,4.86,4.753,10.11
700,4.84,5.2136,16.6
800,4.86,5.7036,25.24
900,4.86,6.0074,37.32
1000,4.84,6.0172,50.19
1100,4.88,5.635,63.69
1200,4.88,4.998,72.66
1300,4.84,4.3414,80.26
1400,4.88,3.7632,87.91
1500,4.82,3.283,93.9
1600,4.88,2.842,95.89
1700,4.84,2.5284,98.66
1800,4.86,2.2736,100.41
1900,4.82,2.0482,101.45
2000,4.84,1.8669,101.38
2100,4.86,1.7101,102.49
2200,4.86,1.5778,101.82
2300,4.86,1.46,102.46
2400,4.86,1.366,101.57
2500,4.86,1.28,101.24
