in s,C1 in V,C2 in V
-2.400000E+00,9.47266E-01,2.13379E+00
-2.399520E+00,9.86328E-01,2.15332E+00
-2.399040E+00,9.86328E-01,2.17285E+00
-2.398560E+00,9.86328E-01,2.16309E+00
-2.398080E+00,9.27734E-01,2.16309E+00
-2.397600E+00,9.66797E-01,2.13379E+00
-2.397120E+00,9.27734E-01,2.17285E+00
-2.396640E+00,9.27734E-01,2.09473E+00
-2.396160E+00,9.27734E-01,2.13379E+00
-2.395680E+00,9.08203E-01,2.11426E+00
-2.395200E+00,9.47266E-01,2.12402E+00
-2.394720E+00,8.69141E-01,2.10449E+00
-2.394240E+00,9.66797E-01,2.10449E+00
-2.393760E+00,9.27734E-01,2.11426E+00
-2.393280E+00,9.27734E-01,2.07520E+00
-2.392800E+00,8.49609E-01,2.11426E+00
-2.392320E+00,8.49609E-01,2.07520E+00
-2.391840E+00,9.08203E-01,2.06543E+00
-2.391360E+00,8.69141E-01,2.09473E+00
-2.390880E+00,8.49609E-01,2.06543E+00
-2.390400E+00,8.69141E-01,2.06543E+00
-2.389920E+00,8.10547E-01,2.02637E+00
-2.389440E+00,9.27734E-01,2.05566E+00
-2.388960E+00,8.49609E-01,2.03613E+00
-2.388480E+00,8.49609E-01,2.01660E+00
-2.388000E+00,8.30078E-01,2.03613E+00
-2.387520E+00,8.69141E-01,2.05566E+00
-2.387040E+00,8.49609E-01,2.03613E+00
-2.386560E+00,8.10547E-01,2.01660E+00
-2.386080E+00,8.88672E-01,2.00684E+00
-2.385600E+00,8.49609E-01,1.98730E+00
-2.385120E+00,8.30078E-01,1.99707E+00
-2.384640E+00,8.10547E-01,1.97754E+00
-2.384160E+00,8.49609E-01,1.98730E+00
-2.383680E+00,8.30078E-01,1.98730E+00
-2.383200E+00,8.49609E-01,1.99707E+00
-2.382720E+00,8.30078E-01,1.96777E+00
-2.382240E+00,8.30078E-01,1.93848E+00
-2.381760E+00,7.51953E-01,1.98730E+00
-2.381280E+00,7.91016E-01,1.97754E+00
-2.380800E+00,7.71484E-01,1.97754E+00
-2.380320E+00,8.30078E-01,1.95801E+00
-2.379840E+00,7.91016E-01,1.95801E+00
-2.379360E+00,7.32422E-01,1.90918E+00
-2.378880E+00,7.32422E-01,1.94824E+00
-2.378400E+00,8.10547E-01,1.93848E+00
-2.377920E+00,7.71484E-01,1.93848E+00
-2.377440E+00,7.91016E-01,1.91895E+00
-2.376960E+00,7.32422E-01,1.92871E+00
-2.376480E+00,8.10547E-01,1.89941E+00
-2.376000E+00,7.91016E-01,1.90918E+00
-2.375520E+00,7.51953E-01,1.92871E+00
-2.375040E+00,7.91016E-01,1.89941E+00
-2.374560E+00,8.10547E-01,1.89941E+00
-2.374080E+00,7.12891E-01,1.87012E+00
-2.373600E+00,7.12891E-01,1.87012E+00
-2.373120E+00,6.93359E-01,1.86035E+00
-2.372640E+00,7.12891E-01,1.86035E+00
-2.372160E+00,7.12891E-01,1.86035E+00
-2.371680E+00,7.32422E-01,1.85059E+00
-2.371200E+00,6.73828E-01,1.84082E+00
-2.370720E+00,7.12891E-01,1.83105E+00
-2.370240E+00,6.15234E-01,1.83105E+00
-2.369760E+00,6.93359E-01,1.85059E+00
-2.369280E+00,6.54297E-01,1.80176E+00
-2.368800E+00,6.54297E-01,1.83105E+00
-2.368320E+00,6.93359E-01,1.83105E+00
-2.367840E+00,6.73828E-01,1.83105E+00
-2.367360E+00,6.54297E-01,1.80176E+00
-2.366880E+00,6.73828E-01,1.79199E+00
-2.366400E+00,6.73828E-01,1.82129E+00
-2.365920E+00,6.73828E-01,1.78223E+00
-2.365440E+00,7.51953E-01,1.76270E+00
-2.364960E+00,6.73828E-01,1.82129E+00
-2.364480E+00,5.95703E-01,1.77246E+00
-2.364000E+00,5.76172E-01,1.76270E+00
-2.363520E+00,5.76172E-01,1.76270E+00
-2.363040E+00,6.34766E-01,1.75293E+00
-2.362560E+00,5.95703E-01,1.75293E+00
-2.362080E+00,6.15234E-01,1.75293E+00
-2.361600E+00,5.95703E-01,1.74316E+00
-2.361120E+00,5.76172E-01,1.74316E+00
-2.360640E+00,6.54297E-01,1.72363E+00
-2.360160E+00,5.76172E-01,1.72363E+00
-2.359680E+00,5.95703E-01,1.72363E+00
-2.359200E+00,5.37109E-01,1.72363E+00
-2.358720E+00,6.34766E-01,1.69434E+00
-2.358240E+00,5.76172E-01,1.71387E+00
-2.357760E+00,5.76172E-01,1.68457E+00
-2.357280E+00,5.76172E-01,1.70410E+00
-2.356800E+00,5.56641E-01,1.68457E+00
-2.356320E+00,5.76172E-01,1.67480E+00
-2.355840E+00,5.76172E-01,1.65527E+00
-2.355360E+00,5.17578E-01,1.64551E+00
-2.354880E+00,5.17578E-01,1.70410E+00
-2.354400E+00,5.56641E-01,1.64551E+00
-2.353920E+00,5.56641E-01,1.64551E+00
-2.353440E+00,5.17578E-01,1.62598E+00
-2.352960E+00,5.56641E-01,1.64551E+00
-2.352480E+00,4.98047E-01,1.62598E+00
-2.352000E+00,4.58984E-01,1.62598E+00
-2.351520E+00,4.58984E-01,1.63574E+00
-2.351040E+00,5.17578E-01,1.61621E+00
-2.350560E+00,5.37109E-01,1.62598E+00
-2.350080E+00,5.17578E-01,1.58691E+00
-2.349600E+00,5.17578E-01,1.63574E+00
-2.349120E+00,4.98047E-01,1.57715E+00
-2.348640E+00,5.17578E-01,1.60645E+00
-2.348160E+00,4.78516E-01,1.56738E+00
-2.347680E+00,4.58984E-01,1.55762E+00
-2.347200E+00,4.98047E-01,1.56738E+00
-2.346720E+00,4.98047E-01,1.53809E+00
-2.346240E+00,4.78516E-01,1.55762E+00
-2.345760E+00,4.39453E-01,1.51855E+00
-2.345280E+00,4.78516E-01,1.53809E+00
-2.344800E+00,4.19922E-01,1.51855E+00
-2.344320E+00,4.98047E-01,1.53809E+00
-2.343840E+00,4.58984E-01,1.50879E+00
-2.343360E+00,4.39453E-01,1.50879E+00
-2.342880E+00,4.58984E-01,1.52832E+00
-2.342400E+00,4.39453E-01,1.52832E+00
-2.341920E+00,4.19922E-01,1.50879E+00
-2.341440E+00,4.39453E-01,1.46973E+00
-2.340960E+00,4.19922E-01,1.50879E+00
