Freq.	V(y)
1.00000000000000e-01	(5.17907194531378e+00dB,2.46783180844664e-02°)
1.24242424242424e-01	(5.21279337307364e+00dB,1.46205370284115e-02°)
1.48484848484848e-01	(5.25381459044794e+00dB,-5.94754566135155e-03°)
1.72727272727273e-01	(5.30213956516142e+00dB,-3.91811449181596e-02°)
1.96969696969697e-01	(5.35777192899687e+00dB,-8.72927674419610e-02°)
2.21212121212121e-01	(5.42071440065864e+00dB,-1.52562864142602e-01°)
2.45454545454545e-01	(5.49096806801640e+00dB,-2.37351060836985e-01°)
2.69696969696970e-01	(5.56853150430858e+00dB,-3.44108037318532e-01°)
2.93939393939394e-01	(5.65339968756110e+00dB,-4.75388116303145e-01°)
3.18181818181818e-01	(5.74556268634999e+00dB,-6.33862610896505e-01°)
3.42424242424242e-01	(5.84500406798364e+00dB,-8.22333960517916e-01°)
3.66666666666667e-01	(5.95169897708773e+00dB,-1.04375065855127e+00°)
3.90909090909091e-01	(6.06561182334459e+00dB,-1.30122293764212e+00°)
4.15151515151515e-01	(6.18669350670913e+00dB,-1.59803912699739e+00°)
4.39393939393939e-01	(6.31487809680333e+00dB,-1.93768252577255e+00°)
4.63636363636364e-01	(6.45007887050275e+00dB,-2.32384854196972e+00°)
4.87878787878788e-01	(6.59218359827593e+00dB,-2.76046172014864e+00°)
5.12121212121212e-01	(6.74104895620395e+00dB,-3.25169211502765e+00°)
5.36363636363636e-01	(6.89649392778858e+00dB,-3.80197025141225e+00°)
5.60606060606061e-01	(7.05829204924954e+00dB,-4.41599963194499e+00°)
5.84848484848485e-01	(7.22616234645189e+00dB,-5.09876539988151e+00°)
6.09090909090909e-01	(7.39975881449013e+00dB,-5.85553732130454e+00°)
6.33333333333333e-01	(7.57865830741099e+00dB,-6.69186470857672e+00°)
6.57575757575758e-01	(7.76234674266348e+00dB,-7.61356025838507e+00°)
6.81818181818182e-01	(7.95020359205220e+00dB,-8.62666902827535e+00°)
7.06060606060606e-01	(8.14148474027106e+00dB,-9.73741794926178e+00°)
7.30303030303031e-01	(8.33530395801659e+00dB,-1.09521404244777e+01°)
7.54545454545455e-01	(8.53061347531786e+00dB,-1.22771697979533e+01°)
7.78787878787879e-01	(8.72618446755185e+00dB,-1.37186949633747e+01°)
8.03030303030303e-01	(8.92058869224264e+00dB,-1.52825713766092e+01°)
8.27272727272728e-01	(9.11218303779863e+00dB,-1.69740815945685e+01°)
8.51515151515152e-01	(9.29909934200686e+00dB,-1.87976416385275e+01°)
8.75757575757576e-01	(9.47924244867973e+00dB,-2.07564534773025e+01°)
9.00000000000001e-01	(9.65029998570336e+00dB,-2.28521101993500e+01°)
9.24242424242425e-01	(9.80976759819309e+00dB,-2.50841692112208e+01°)
9.48484848484849e-01	(9.95499313418584e+00dB,-2.74497197738118e+01°)
9.72727272727273e-01	(1.00832423136272e+01dB,-2.99429832576014e+01°)
9.96969696969698e-01	(1.01917865192272e+01dB,-3.25549954923452e+01°)
1.02121212121212e+00	(1.02780104899952e+01dB,-3.52734272989305e+01°)
1.04545454545455e+00	(1.03395341085269e+01dB,-3.80825979912754e+01°)
1.06969696969697e+00	(1.03743387347750e+01dB,-4.09637241825140e+01°)
1.09393939393939e+00	(1.03808855461720e+01dB,-4.38954216021420e+01°)
1.11818181818182e+00	(1.03582120956720e+01dB,-4.68544433067837e+01°)
1.14242424242424e+00	(1.03059945501124e+01dB,-4.98165999939094e+01°)
1.16666666666667e+00	(1.02245669655424e+01dB,-5.27577760366403e+01°)
1.19090909090909e+00	(1.01148948372237e+01dB,-5.56549370331030e+01°)
1.21515151515152e+00	(9.97850670304970e+00dB,-5.84870262660812e+01°)
1.23939393939394e+00	(9.81739322034608e+00dB,-6.12356680252736e+01°)
1.26363636363636e+00	(9.63388663403097e+00dB,-6.38856293468578e+01°)
1.28787878787879e+00	(9.43053437973851e+00dB,-6.64250294239997e+01°)
1.31212121212121e+00	(9.20997897926585e+00dB,-6.88453190583542e+01°)
1.33636363636364e+00	(8.97485320709704e+00dB,-7.11410752836198e+01°)
1.36060606060606e+00	(8.72769573878711e+00dB,-7.33096668357864e+01°)
1.38484848484848e+00	(8.47088898868499e+00dB,-7.53508459326034e+01°)
1.40909090909091e+00	(8.20661813253608e+00dB,-7.72663141882718e+01°)
1.43333333333333e+00	(7.93684857314487e+00dB,-7.90592991342765e+01°)
1.45757575757576e+00	(7.66331827175064e+00dB,-8.07341658053996e+01°)
1.48181818181818e+00	(7.38754122495776e+00dB,-8.22960771763592e+01°)
1.50606060606061e+00	(7.11081867306927e+00dB,-8.37507088591202e+01°)
1.53030303030303e+00	(6.83425516536161e+00dB,-8.51040175815759e+01°)
1.55454545454545e+00	(6.55877722204831e+00dB,-8.63620592931141e+01°)
1.57878787878788e+00	(6.28515292052585e+00dB,-8.75308508088222e+01°)
1.60303030303030e+00	(6.01401124192916e+00dB,-8.86162682101885e+01°)
1.62727272727273e+00	(5.74586042363185e+00dB,-8.96239753276880e+01°)
1.65151515151515e+00	(5.48110487523743e+00dB,-9.05593761991556e+01°)
1.67575757575757e+00	(5.22006044159646e+00dB,-9.14275861857113e+01°)
1.70000000000000e+00	(4.96296795224671e+00dB,-9.22334172762721e+01°)
1.72424242424242e+00	(4.71000509835863e+00dB,-9.29813739280732e+01°)
1.74848484848485e+00	(4.46129673992745e+00dB,-9.36756565245119e+01°)
1.77272727272727e+00	(4.21692377920102e+00dB,-9.43201701626438e+01°)
1.79696969696970e+00	(3.97693075020701e+00dB,-9.49185370081659e+01°)
1.82121212121212e+00	(3.74133227548630e+00dB,-9.54741108828788e+01°)
1.84545454545454e+00	(3.51011853461060e+00dB,-9.59899930902152e+01°)
1.86969696969697e+00	(3.28325987815055e+00dB,-9.64690487516895e+01°)
1.89393939393939e+00	(3.06071070775388e+00dB,-9.69139231339788e+01°)
1.91818181818182e+00	(2.84241272937997e+00dB,-9.73270576044271e+01°)
1.94242424242424e+00	(2.62829767343923e+00dB,-9.77107049721211e+01°)
1.96666666666666e+00	(2.41828956313693e+00dB,-9.80669440607063e+01°)
1.99090909090909e+00	(2.21230660099403e+00dB,-9.83976934246069e+01°)
2.01515151515151e+00	(2.01026273341695e+00dB,-9.87047241677835e+01°)
2.03939393939394e+00	(1.81206894431147e+00dB,-9.89896718579106e+01°)
2.06363636363636e+00	(1.61763432102079e+00dB,-9.92540475522807e+01°)
2.08787878787879e+00	(1.42686692921835e+00dB,-9.94992479674510e+01°)
2.11212121212121e+00	(1.23967452769007e+00dB,-9.97265648346600e+01°)
2.13636363636364e+00	(1.05596514908781e+00dB,-9.99371934888868e+01°)
2.16060606060606e+00	(8.75647568615336e-01dB,-1.00132240742270e+02°)
2.18484848484848e+00	(6.98631679120223e-01dB,-1.00312732093320e+02°)
2.20909090909091e+00	(5.24828788119583e-01dB,-1.00479618322592e+02°)
2.23333333333333e+00	(3.54151849803911e-01dB,-1.00633781523765e+02°)
2.25757575757576e+00	(1.86515642972410e-01dB,-1.00776040616663e+02°)
2.28181818181818e+00	(2.18369040929113e-02dB,-1.00907156386028e+02°)
2.30606060606061e+00	(-1.39965576799140e-01dB,-1.01027836086925e+02°)
2.33030303030303e+00	(-2.98970890891640e-01dB,-1.01138737654638e+02°)
2.35454545454545e+00	(-4.55255970650851e-01dB,-1.01240473554020e+02°)
2.37878787878788e+00	(-6.08895570591817e-01dB,-1.01333614300351e+02°)
2.40303030303030e+00	(-7.59962264953526e-01dB,-1.01418691681102e+02°)
2.42727272727273e+00	(-9.08526459087655e-01dB,-1.01496201705397e+02°)
2.45151515151515e+00	(-1.05465641189039e+00dB,-1.01566607305649e+02°)
2.47575757575758e+00	(-1.19841826704514e+00dB,-1.01630340813589e+02°)
2.50000000000000e+00	(-1.33987609121134e+00dB,-1.01687806230907e+02°)
