f / Hz,Re(V) / V,Im(V) / V
1.00E-01,1.81532152371846e+00,7.81891530911411e-04
1.05E-01,1.81659894834368e+00,7.42462882743540e-04
1.10E-01,1.81793738566439e+00,6.91993798114124e-04
1.14E-01,1.81933697467948e+00,6.29934499356653e-04
1.19E-01,1.82079786040753e+00,5.55729273373981e-04
1.24E-01,1.82232019385424e+00,4.68816182609858e-04
1.29E-01,1.82390413197764e+00,3.68626772271379e-04
1.34E-01,1.82554983765082e+00,2.54585773632324e-04
1.38E-01,1.82725747962212e+00,1.26110803246857e-04
1.43E-01,1.82902723247257e+00,-1.73879421046096e-05
1.48E-01,1.83085927657056e+00,-1.76507994903945e-04
1.53E-01,1.83275379802343e+00,-3.51854931004352e-04
1.58E-01,1.83471098862591e+00,-5.44042688527641e-04
1.63E-01,1.83673104580531e+00,-7.53693891737679e-04
1.67E-01,1.83881417256305e+00,-9.81440180063821e-04
1.72E-01,1.84096057741262e+00,-1.22792254246162e-03
1.77E-01,1.84317047431358e+00,-1.49379165728817e-03
1.82E-01,1.84544408260144e+00,-1.77970823788520e-03
1.87E-01,1.84778162691328e+00,-2.08634338404573e-03
1.91E-01,1.85018333710871e+00,-2.41437893956147e-03
1.96E-01,1.85264944818620e+00,-2.76450785603130e-03
2.01E-01,1.85518020019418e+00,-3.13743456312414e-03
2.06E-01,1.85777583813703e+00,-3.53387534548799e-03
2.11E-01,1.86043661187531e+00,-3.95455872649226e-03
2.15E-01,1.86316277602027e+00,-4.40022585899659e-03
2.20E-01,1.86595458982213e+00,-4.87163092334263e-03
2.25E-01,1.86881231705188e+00,-5.36954153275316e-03
2.30E-01,1.87173622587631e+00,-5.89473914634126e-03
2.35E-01,1.87472658872583e+00,-6.44801948991463e-03
2.39E-01,1.87778368215485e+00,-7.03019298477097e-03
2.44E-01,1.88090778669420e+00,-7.64208518467792e-03
2.49E-01,1.88409918669535e+00,-8.28453722122370e-03
2.54E-01,1.88735817016591e+00,-8.95840625773651e-03
2.59E-01,1.89068502859596e+00,-9.66456595194982e-03
2.64E-01,1.89408005677492e+00,-1.04039069276165e-02
2.68E-01,1.89754355259834e+00,-1.11773372552358e-02
2.73E-01,1.90107581686414e+00,-1.19857829420976e-02
2.78E-01,1.90467715305791e+00,-1.28301884317995e-02
2.83E-01,1.90834786712657e+00,-1.37115171134294e-02
2.88E-01,1.91208826724002e+00,-1.46307518405785e-02
2.92E-01,1.91589866354002e+00,-1.55888954603425e-02
2.97E-01,1.91977936787582e+00,-1.65869713524813e-02
3.02E-01,1.92373069352592e+00,-1.76260239788870e-02
3.07E-01,1.92775295490519e+00,-1.87071194435055e-02
3.12E-01,1.93184646725684e+00,-1.98313460628473e-02
3.16E-01,1.93601154632834e+00,-2.09998149472245e-02
3.21E-01,1.94024850803070e+00,-2.22136605928267e-02
3.26E-01,1.94455766808032e+00,-2.34740414847457e-02
3.31E-01,1.94893934162251e+00,-2.47821407110496e-02
3.36E-01,1.95339384283596e+00,-2.61391665879806e-02
3.40E-01,1.95792148451726e+00,-2.75463532963579e-02
3.45E-01,1.96252257764446e+00,-2.90049615292247e-02
3.50E-01,1.96719743091898e+00,-3.05162791507809e-02
3.55E-01,1.97194635028460e+00,-3.20816218666208e-02
3.60E-01,1.97676963842272e+00,-3.37023339052625e-02
3.65E-01,1.98166759422278e+00,-3.53797887109495e-02
3.69E-01,1.98664051222666e+00,-3.71153896476620e-02
3.74E-01,1.99168868204610e+00,-3.89105707142732e-02
3.79E-01,1.99681238775176e+00,-4.07667972707282e-02
3.84E-01,2.00201190723286e+00,-4.26855667751136e-02
3.89E-01,2.00728751152597e+00,-4.46684095314481e-02
3.93E-01,2.01263946411180e+00,-4.67168894479704e-02
3.98E-01,2.01806802017847e+00,-4.88326048056930e-02
4.03E-01,2.02357342584995e+00,-5.10171890369169e-02
4.08E-01,2.02915591737811e+00,-5.32723115133727e-02
4.13E-01,2.03481572029697e+00,-5.55996783436092e-02
4.17E-01,2.04055304853744e+00,-5.80010331791735e-02
4.22E-01,2.04636810350104e+00,-6.04781580291040e-02
4.27E-01,2.05226107309083e+00,-6.30328740821690e-02
4.32E-01,2.05823213069792e+00,-6.56670425362271e-02
4.37E-01,2.06428143414161e+00,-6.83825654340253e-02
4.41E-01,2.07040912456139e+00,-7.11813865046570e-02
4.46E-01,2.07661532525900e+00,-7.40654920098466e-02
4.51E-01,2.08290014048828e+00,-7.70369115941077e-02
4.56E-01,2.08926365419116e+00,-8.00977191377807e-02
4.61E-01,2.09570592867733e+00,-8.32500336117935e-02
4.66E-01,2.10222700324575e+00,-8.64960199329590e-02
4.70E-01,2.10882689274558e+00,-8.98378898184369e-02
4.75E-01,2.11550558607439e+00,-9.32779026379406e-02
4.80E-01,2.12226304461128e+00,-9.68183662620923e-02
4.85E-01,2.12909920058249e+00,-1.00461637905216e-01
4.90E-01,2.13601395535719e+00,-1.04210124960738e-01
4.94E-01,2.14300717767086e+00,-1.08066285827161e-01
4.99E-01,2.15007870177371e+00,-1.12032630722500e-01
5.04E-01,2.15722832550165e+00,-1.16111722484784e-01
5.09E-01,2.16445580826711e+00,-1.20306177356205e-01
