time	V(y)	V(recti)
0.000000000000000e+00	-3.252848e-01	-2.857355e-06
3.610825624278391e-06	-3.253182e-01	-1.085394e-06
1.083247687283517e-05	-3.253849e-01	-9.357329e-09
2.394278226372901e-05	-3.255059e-01	-8.433474e-09
3.705308765462284e-05	-3.256270e-01	-6.258999e-09
5.016339304551667e-05	-3.257480e-01	-2.833904e-09
6.327369843641052e-05	-3.258690e-01	1.841813e-09
7.638400382730434e-05	-3.259901e-01	7.768150e-09
8.949430921819817e-05	-3.261111e-01	1.494511e-08
1.026046146090920e-04	-3.262321e-01	2.337269e-08
9.999996000011890e-04	-3.344874e-01	-1.439982e-10
1.999999599998858e-03	-3.436245e-01	-2.971634e-09
1.136365750024509e-02	-4.243301e-01	-2.992503e-09
2.072731540049132e-02	-4.993024e-01	-2.984300e-09
3.009097330073755e-02	-5.685416e-01	-2.947025e-09
3.945463120098378e-02	-6.320476e-01	-2.880678e-09
4.881828910123001e-02	-6.898204e-01	-2.785259e-09
5.818194700147625e-02	-7.418600e-01	-2.660767e-09
6.754560490172246e-02	-7.881664e-01	-2.507204e-09
8.754560490172203e-02	-8.679003e-01	-2.138904e-09
1.075456049017216e-01	-9.216419e-01	-1.677106e-09
1.275456049017212e-01	-9.507665e-01	-1.132278e-09
1.475456049017208e-01	-9.570354e-01	3.111990e-08
1.675456049017203e-01	-9.450651e-01	1.207465e-05
1.762281872981202e-01	-9.341483e-01	2.494181e-04
1.810753998479946e-01	-9.260220e-01	1.435158e-03
1.836646537485347e-01	-9.211631e-01	4.466174e-03
1.854252842926716e-01	-9.176277e-01	1.072380e-02
1.870867306280690e-01	-9.141000e-01	2.301516e-02
1.887654669881691e-01	-9.102805e-01	4.288574e-02
1.914103909234264e-01	-9.037250e-01	8.297726e-02
1.942174492721840e-01	-8.959939e-01	1.298328e-01
1.980050236862034e-01	-8.839427e-01	1.955510e-01
2.051325613238362e-01	-8.559731e-01	3.220211e-01
2.193876365991034e-01	-7.829466e-01	5.786600e-01
2.393876365991030e-01	-6.484509e-01	9.377432e-01
2.593876365991026e-01	-4.768038e-01	1.287078e+00
2.793876365991022e-01	-2.681935e-01	1.617242e+00
2.993876365991017e-01	-2.724333e-02	1.919955e+00
3.193876365991013e-01	2.402231e-01	2.187896e+00
3.393876365991009e-01	5.273770e-01	2.414690e+00
3.593876365991004e-01	8.265995e-01	2.595024e+00
3.793876365991000e-01	1.129715e+00	2.724700e+00
4.003876365990990e-01	1.446309e+00	2.816948e+00
4.166666662999994e-01	1.681547e+00	2.835778e+00
4.176666662999988e-01	1.695612e+00	2.835754e+00
4.186666662999983e-01	1.709626e+00	2.835590e+00
4.189666662999976e-01	1.713814e+00	2.835500e+00
4.192666662999986e-01	1.717999e+00	2.835399e+00
4.196666662999977e-01	1.723572e+00	2.835250e+00
4.254438091571338e-01	1.802648e+00	2.829000e+00
4.312209520142698e-01	1.879040e+00	2.817984e+00
4.369980948714058e-01	1.952750e+00	2.802202e+00
4.427752377285419e-01	2.023778e+00	2.781655e+00
4.485523805856779e-01	2.092123e+00	2.756342e+00
4.543295234428140e-01	2.157786e+00	2.726263e+00
4.601066662999500e-01	2.220766e+00	2.691418e+00
4.801066662999496e-01	2.416897e+00	2.546301e+00
5.001066662999492e-01	2.569675e+00	2.351772e+00
5.201066662999487e-01	2.673797e+00	2.112430e+00
5.401066662999483e-01	2.725185e+00	1.833996e+00
5.601066662999479e-01	2.721118e+00	1.523269e+00
5.801066662999474e-01	2.660344e+00	1.188248e+00
6.001066662999470e-01	2.543195e+00	8.388056e-01
6.201066662999466e-01	2.371970e+00	4.933828e-01
6.401066662999462e-01	2.156166e+00	1.871545e-01
6.514293195258105e-01	2.016051e+00	6.660608e-02
6.592695557990762e-01	1.911884e+00	2.388699e-02
6.627255386670097e-01	1.864655e+00	1.518571e-02
6.661526240988689e-01	1.817134e+00	1.046254e-02
6.702471817494740e-01	1.759826e+00	6.747956e-03
6.748682320229165e-01	1.694609e+00	4.061000e-03
6.792482764098171e-01	1.632340e+00	2.485136e-03
6.835916879758557e-01	1.570222e+00	1.531510e-03
6.878260162432994e-01	1.509390e+00	9.567923e-04
6.921698448787517e-01	1.446778e+00	5.914496e-04
6.964670712160235e-01	1.384705e+00	3.669888e-04
7.008145299159150e-01	1.321838e+00	2.265266e-04
7.051107026874881e-01	1.259714e+00	1.405441e-04
7.094437558793061e-01	1.197121e+00	8.689486e-05
7.137458731779134e-01	1.135102e+00	5.388858e-05
7.180762634642228e-01	1.072866e+00	3.332550e-05
7.223827748433429e-01	1.011221e+00	2.065711e-05
7.267100637305930e-01	9.495857e-01	1.277783e-05
7.310177892665699e-01	8.885922e-01	7.919387e-06
7.396507704196047e-01	7.676637e-01	3.036069e-06
7.488297732495699e-01	6.414548e-01	1.115659e-06
7.542597092423673e-01	5.681823e-01	6.250961e-07
7.613242398203877e-01	4.746020e-01	2.978131e-07
7.701410964850943e-01	3.609572e-01	1.182359e-07
7.826813862050805e-01	2.063523e-01	3.191555e-08
8.015383216503764e-01	-1.316694e-02	3.735654e-10
8.143333329000004e-01	-1.541394e-01	3.654655e-11
8.173333328999988e-01	-1.850827e-01	-3.751969e-09
8.273333329000039e-01	-2.840108e-01	-1.378377e-09
8.333333329000006e-01	-3.402448e-01	-2.996217e-09
8.343333329000000e-01	-3.494020e-01	2.824175e-06
8.344333328999998e-01	-3.503119e-01	9.446694e-07
8.346333328999993e-01	-3.521301e-01	-2.965763e-09
8.353333328999994e-01	-3.584766e-01	-1.824921e-08
8.439676186142783e-01	-4.324658e-01	-8.958339e-09
8.526019043285571e-01	-5.015734e-01	-2.018521e-09
8.612361900428360e-01	-5.657994e-01	2.570245e-09
8.698704757571148e-01	-6.251437e-01	4.807961e-09
8.785047614713937e-01	-6.796064e-01	4.694626e-09
8.871390471856725e-01	-7.291874e-01	2.230239e-09
8.957733328999513e-01	-7.738868e-01	-2.585199e-09
9.157733328999509e-01	-8.587675e-01	-2.242183e-09
9.357733328999505e-01	-9.173519e-01	-1.803335e-09
9.557733328999500e-01	-9.509423e-01	-1.278618e-09
9.757733328999496e-01	-9.612424e-01	2.530489e-10
9.957733328999492e-01	-9.539579e-01	1.437708e-08
1.000260840424348e+00	-9.497064e-01	3.286151e-08
1.002512606364949e+00	-9.466576e-01	1.422826e-07
1.003912157137878e+00	-9.446596e-01	3.563277e-07
1.005133777171158e+00	-9.428469e-01	7.875694e-07
1.006204780733080e+00	-9.411998e-01	1.644037e-06
1.007327558693444e+00	-9.394175e-01	3.572868e-06
1.008373739861693e+00	-9.377069e-01	7.429587e-06
1.009453961818219e+00	-9.358900e-01	1.585205e-05
1.010497065372356e+00	-9.340874e-01	3.308202e-05
1.011559397908393e+00	-9.322031e-01	7.002533e-05
1.012602873432236e+00	-9.303052e-01	1.464847e-04
1.013657680349327e+00	-9.283391e-01	3.085645e-04
1.014704912252842e+00	-9.263397e-01	6.448983e-04
1.015763979340557e+00	-9.242691e-01	1.348500e-03
1.016831862176261e+00	-9.221295e-01	2.791118e-03
1.017934848157550e+00	-9.198605e-01	5.719602e-03
1.019105403839376e+00	-9.173765e-01	1.148896e-02
1.020449016334819e+00	-9.144021e-01	2.276052e-02
1.022288087767446e+00	-9.100695e-01	4.545055e-02
1.024871207717828e+00	-9.034664e-01	8.497658e-02
1.027661796908735e+00	-8.955513e-01	1.317385e-01
1.031551139020635e+00	-8.827927e-01	1.993067e-01
1.039312318016879e+00	-8.511801e-01	3.372252e-01
1.054834676009367e+00	-7.686081e-01	6.168200e-01
1.074834676009367e+00	-6.294097e-01	9.752551e-01
1.094834676009366e+00	-4.528090e-01	1.322950e+00
1.114834676009366e+00	-2.398328e-01	1.650621e+00
1.134834676009365e+00	4.763638e-03	1.950034e+00
1.154834676009365e+00	2.750442e-01	2.213912e+00
1.174834676009365e+00	5.640911e-01	2.436027e+00
1.194834676009364e+00	8.642245e-01	2.611185e+00
1.214834676009364e+00	1.167565e+00	2.737252e+00
1.232999999599999e+00	1.441342e+00	2.815256e+00
1.235571428171427e+00	1.479281e+00	2.820854e+00
1.238142856742856e+00	1.516942e+00	2.825562e+00
1.240714285314285e+00	1.554326e+00	2.829380e+00
1.243285713885713e+00	1.591433e+00	2.832309e+00
1.245857142457142e+00	1.628262e+00	2.834347e+00
1.248428571028571e+00	1.664813e+00	2.835496e+00
1.250999999599999e+00	1.701087e+00	2.835754e+00
1.251999999599999e+00	1.715086e+00	2.835591e+00
1.252099999599999e+00	1.716481e+00	2.835562e+00
1.252299999599998e+00	1.719271e+00	2.835500e+00
1.252599999599999e+00	1.723450e+00	2.835398e+00
1.252999999599998e+00	1.729018e+00	2.835250e+00
1.258777142457134e+00	1.808002e+00	2.829000e+00
1.264554285314270e+00	1.884298e+00	2.817984e+00
1.270331428171406e+00	1.957904e+00	2.802202e+00
1.276108571028542e+00	2.028821e+00	2.781655e+00
1.281885713885679e+00	2.097050e+00	2.756342e+00
1.287662856742815e+00	2.162590e+00	2.726263e+00
1.293439999599951e+00	2.225441e+00	2.691418e+00
1.313439999599950e+00	2.421105e+00	2.546301e+00
1.333439999599950e+00	2.573373e+00	2.351772e+00
1.353439999599949e+00	2.676955e+00	2.112430e+00
1.373439999599949e+00	2.727789e+00	1.833996e+00
1.393439999599948e+00	2.723167e+00	1.523269e+00
1.413439999599948e+00	2.661848e+00	1.188248e+00
1.433439999599948e+00	2.544174e+00	8.388056e-01
1.453439999599947e+00	2.372456e+00	4.933828e-01
1.473439999599947e+00	2.156189e+00	1.871543e-01
1.484762598002538e+00	2.015831e+00	6.660647e-02
1.492602903563256e+00	1.911504e+00	2.388700e-02
1.496058893217464e+00	1.864208e+00	1.518567e-02
1.499485956510920e+00	1.816622e+00	1.046254e-02
1.503580511863120e+00	1.759238e+00	6.747960e-03
1.508201560447114e+00	1.693938e+00	4.061004e-03
1.512581610827255e+00	1.631592e+00	2.485137e-03
1.516925020007482e+00	1.569402e+00	1.531510e-03
1.521159349819387e+00	1.508500e+00	9.567926e-04
1.525503176241125e+00	1.445820e+00	5.914499e-04
1.529800404178207e+00	1.383681e+00	3.669889e-04
1.534147861760053e+00	1.320751e+00	2.265267e-04
1.538444035492608e+00	1.258567e+00	1.405442e-04
1.542777088007700e+00	1.195915e+00	8.689490e-05
1.547079205601728e+00	1.133842e+00	5.388861e-05
1.551409596010508e+00	1.071552e+00	3.332551e-05
1.555716106689573e+00	1.009856e+00	2.065712e-05
1.560043397165867e+00	9.481733e-01	1.277783e-05
1.564351119798138e+00	8.871343e-01	7.919391e-06
1.572984097681653e+00	7.661222e-01	3.036072e-06
1.582164398733303e+00	6.398180e-01	1.115543e-06
1.587596231235489e+00	5.664798e-01	6.249116e-07
1.594663683298219e+00	4.728153e-01	2.976392e-07
1.603485090463575e+00	3.590665e-01	1.181129e-07
1.616033334399708e+00	2.043231e-01	3.185490e-08
1.634906828749056e+00	-1.542114e-02	3.512637e-10
1.647666666200001e+00	-1.560127e-01	3.857384e-11
1.650666666199999e+00	-1.869555e-01	-3.754243e-09
1.660666666200004e+00	-2.858765e-01	-1.376331e-09
1.666666666200001e+00	-3.421015e-01	-2.996387e-09
1.667666666200001e+00	-3.512569e-01	2.828279e-06
1.667766666200000e+00	-3.521666e-01	9.460450e-07
1.667966666200000e+00	-3.539844e-01	-2.965865e-09
1.668666666200000e+00	-3.603295e-01	-1.827148e-08
1.677300951914279e+00	-4.342955e-01	-8.967068e-09
1.685935237628558e+00	-5.033747e-01	-2.017162e-09
1.694569523342837e+00	-5.675670e-01	2.578240e-09
1.703203809057115e+00	-6.268725e-01	4.819137e-09
1.711838094771394e+00	-6.812911e-01	4.705530e-09
1.720472380485673e+00	-7.308228e-01	2.237418e-09
1.729106666199952e+00	-7.754677e-01	-2.585199e-09
