time	V(y)	V(sine)
0.000000000000000e+00	-2.673334e+00	-7.347880e-15
1.000001760036895e-03	-2.660302e+00	1.884941e-02
1.999999999998892e-03	-2.647120e+00	3.769768e-02
5.380758324693553e-03	-2.601028e+00	1.014616e-01
8.761516649388214e-03	-2.553071e+00	1.650693e-01
1.214227497408287e-02	-2.503248e+00	2.285209e-01
1.552303329877753e-02	-2.451560e+00	2.918164e-01
1.890379162347219e-02	-2.398007e+00	3.549557e-01
2.228454994816685e-02	-2.342588e+00	4.179389e-01
2.566530827286151e-02	-2.285304e+00	4.807660e-01
4.566530827286108e-02	-1.925274e+00	8.438641e-01
6.566530827286066e-02	-1.526905e+00	1.187810e+00
8.566530827286023e-02	-1.093740e+00	1.504796e+00
1.056653082728598e-01	-6.356494e-01	1.787629e+00
1.256653082728594e-01	-1.630691e-01	2.029888e+00
1.456653082728590e-01	3.132391e-01	2.226077e+00
1.656653082728585e-01	7.824318e-01	2.371741e+00
1.856653082728581e-01	1.236138e+00	2.463575e+00
1.998415647980494e-01	1.540739e+00	2.494878e+00
2.176734556736086e-01	1.896129e+00	2.493803e+00
2.360371780757902e-01	2.226413e+00	2.445658e+00
2.560371780757897e-01	2.537353e+00	2.340025e+00
2.760371780757893e-01	2.791550e+00	2.181281e+00
2.960371780757889e-01	2.982265e+00	1.973030e+00
3.160371780757885e-01	3.105162e+00	1.719998e+00
3.360371780757880e-01	3.157452e+00	1.427928e+00
3.560371780757876e-01	3.137948e+00	1.103449e+00
3.760371780757872e-01	3.047097e+00	7.539256e-01
3.976666675000207e-01	2.887131e+00	3.569178e-01
4.074436040454241e-01	2.778915e+00	1.737106e-01
4.176666675000202e-01	2.654726e+00	-1.884939e-02
4.248228119182382e-01	2.555166e+00	-1.536428e-01
4.330012626819144e-01	2.430439e+00	-3.071221e-01
4.493581642092686e-01	2.155094e+00	-6.099992e-01
4.693581642092681e-01	1.780664e+00	-9.672895e-01
4.893581642092677e-01	1.368132e+00	-1.302626e+00
5.093581642092673e-01	9.244886e-01	-1.608397e+00
5.293581642092668e-01	4.598121e-01	-1.877663e+00
5.493581642092664e-01	-1.534059e-02	-2.104312e+00
5.693581642092660e-01	-4.901751e-01	-2.283202e+00
5.893581642092656e-01	-9.539047e-01	-2.410270e+00
6.093581642092651e-01	-1.399157e+00	-2.482634e+00
6.221120128102324e-01	-1.667369e+00	-2.499407e+00
6.364264452855721e-01	-1.945688e+00	-2.490728e+00
6.560970144359590e-01	-2.290220e+00	-2.431596e+00
6.760970144359586e-01	-2.591623e+00	-2.316750e+00
6.960970144359582e-01	-2.834391e+00	-2.149321e+00
7.160970144359577e-01	-3.012811e+00	-1.933110e+00
7.360970144359573e-01	-3.122830e+00	-1.673024e+00
7.560970144359569e-01	-3.161947e+00	-1.374966e+00
7.760970144359565e-01	-3.129273e+00	-1.045702e+00
7.960970144359560e-01	-3.025548e+00	-6.927035e-01
8.160970144359556e-01	-2.865139e+00	-3.239832e-01
8.212050210779491e-01	-2.813791e+00	-2.282948e-01
8.285087345238527e-01	-2.727467e+00	-9.092149e-02
8.343333342000196e-01	-2.653973e+00	1.884939e-02
8.395754739085700e-01	-2.580973e+00	1.178617e-01
8.448176136171204e-01	-2.504161e+00	2.163535e-01
8.500597533256707e-01	-2.423538e+00	3.143249e-01
8.553018930342211e-01	-2.339104e+00	4.117759e-01
8.605440327427714e-01	-2.250858e+00	5.087065e-01
8.657861724513217e-01	-2.158800e+00	6.051166e-01
8.710283121598721e-01	-2.062931e+00	7.010064e-01
8.910283121598717e-01	-1.678547e+00	1.053548e+00
9.110283121598712e-01	-1.256906e+00	1.382179e+00
9.310283121598708e-01	-8.067167e-01	1.679438e+00
9.510283121598704e-01	-3.381952e-01	1.938580e+00
9.710283121598700e-01	1.380237e-01	2.153724e+00
9.910283121598695e-01	6.111306e-01	2.319985e+00
1.011028312159869e+00	1.070386e+00	2.433590e+00
1.031028312159869e+00	1.505764e+00	2.491962e+00
1.050205422130638e+00	1.892156e+00	2.494821e+00
1.068066774937094e+00	2.215301e+00	2.450636e+00
1.088066774937094e+00	2.528313e+00	2.348562e+00
1.108066774937093e+00	2.785205e+00	2.193183e+00
1.128066774937093e+00	2.978894e+00	1.988026e+00
1.148066774937092e+00	3.104980e+00	1.737749e+00
1.168066774937092e+00	3.160600e+00	1.448031e+00
1.188066774937091e+00	3.144491e+00	1.125447e+00
1.208066774937091e+00	3.057015e+00	7.773195e-01
1.228066774937091e+00	2.914209e+00	4.115497e-01
1.239267097048298e+00	2.798473e+00	2.020897e-01
1.251000000900023e+00	2.654129e+00	-1.884940e-02
1.254069716294503e+00	2.612345e+00	-7.675004e-02
1.257139431688983e+00	2.568998e+00	-1.345415e-01
1.260209147083464e+00	2.524086e+00	-1.922237e-01
1.263278862477944e+00	2.477611e+00	-2.497968e-01
1.266348577872425e+00	2.429571e+00	-3.072607e-01
1.269418293266905e+00	2.379968e+00	-3.646153e-01
1.272488008661385e+00	2.328801e+00	-4.218608e-01
1.292488008661385e+00	1.973801e+00	-7.872518e-01
1.312488008661385e+00	1.580126e+00	-1.134775e+00
1.332488008661384e+00	1.150583e+00	-1.456542e+00
1.352488008661384e+00	6.949180e-01	-1.745252e+00
1.372488008661383e+00	2.234703e-01	-1.994350e+00
1.392488008661383e+00	-2.530623e-01	-2.198183e+00
1.412488008661382e+00	-7.238662e-01	-2.352125e+00
1.432488008661382e+00	-1.179733e+00	-2.452682e+00
1.448659545600243e+00	-1.528863e+00	-2.493353e+00
1.467232377727475e+00	-1.900435e+00	-2.494375e+00
1.485319617696952e+00	-2.226319e+00	-2.448427e+00
1.505319617696951e+00	-2.537791e+00	-2.344752e+00
1.525319617696951e+00	-2.792810e+00	-2.187858e+00
1.545319617696951e+00	-2.984463e+00	-1.981308e+00
1.565319617696950e+00	-3.108400e+00	-1.729789e+00
1.585319617696950e+00	-3.161806e+00	-1.439009e+00
1.605319617696949e+00	-3.143467e+00	-1.115570e+00
1.625319617696949e+00	-3.053798e+00	-7.668105e-01
1.645319617696948e+00	-2.909352e+00	-4.006473e-01
1.652360767406165e+00	-2.837851e+00	-2.691373e-01
1.658278467987731e+00	-2.769760e+00	-1.580084e-01
1.667666667600020e+00	-2.654328e+00	1.884940e-02
1.674238407328623e+00	-2.562920e+00	1.426464e-01
1.681748967018454e+00	-2.449183e+00	2.836823e-01
1.696770086398116e+00	-2.198908e+00	5.625765e-01
1.716770086398116e+00	-1.828598e+00	9.221236e-01
1.736770086398115e+00	-1.420085e+00	1.260742e+00
1.756770086398115e+00	-9.793431e-01	1.570745e+00
1.776770086398114e+00	-5.163702e-01	1.845099e+00
1.796770086398114e+00	-4.167076e-02	2.077575e+00
1.816770086398114e+00	4.339847e-01	2.262897e+00
1.836770086398113e+00	8.998033e-01	2.396859e+00
1.856770086398113e+00	1.347926e+00	2.476421e+00
1.870382231466568e+00	1.636148e+00	2.498485e+00
1.885783074840178e+00	1.937738e+00	2.491742e+00
1.905050818925332e+00	2.277518e+00	2.436102e+00
1.925050818925332e+00	2.581245e+00	2.324088e+00
1.945050818925331e+00	2.826854e+00	2.159326e+00
1.965050818925331e+00	3.008329e+00	1.945554e+00
1.985050818925330e+00	3.121551e+00	1.687625e+00
2.005050818925330e+00	3.163948e+00	1.391393e+00
2.025050818925330e+00	3.134557e+00	1.063581e+00
2.045050818925329e+00	3.034044e+00	7.116299e-01
2.065050818925329e+00	2.875873e+00	3.435269e-01
2.072024929920438e+00	2.805834e+00	2.129002e-01
2.079433426067776e+00	2.717440e+00	7.350092e-02
2.080687362754063e+00	2.701706e+00	4.986700e-02
2.081941299440349e+00	2.685700e+00	2.623383e-02
2.083195236126635e+00	2.669422e+00	2.601409e-03
2.084449172812921e+00	2.652873e+00	-2.103027e-02
2.085703109499207e+00	2.636052e+00	-4.466119e-02
2.086957046185493e+00	2.618959e+00	-6.829137e-02
2.088210982871779e+00	2.601594e+00	-9.192080e-02
2.100219184900444e+00	2.421016e+00	-3.174316e-01
2.116230120938663e+00	2.149817e+00	-6.137512e-01
2.136230120938663e+00	1.773837e+00	-9.708565e-01
2.156230120938663e+00	1.360203e+00	-1.305927e+00
2.176230120938662e+00	9.157021e-01	-1.611357e+00
2.196230120938662e+00	4.504182e-01	-1.880215e+00
2.216230120938661e+00	-2.509290e-02	-2.106399e+00
2.236230120938661e+00	-5.000426e-01	-2.284775e+00
2.256230120938660e+00	-9.636546e-01	-2.411295e+00
2.276230120938660e+00	-1.408676e+00	-2.483086e+00
2.288773982955380e+00	-1.672287e+00	-2.499405e+00
2.303091365641528e+00	-1.950449e+00	-2.490731e+00
2.322760841621472e+00	-2.294694e+00	-2.431609e+00
2.342760841621471e+00	-2.595761e+00	-2.316770e+00
2.362760841621471e+00	-2.838140e+00	-2.149348e+00
2.382760841621471e+00	-3.016131e+00	-1.933144e+00
2.402760841621470e+00	-3.125693e+00	-1.673064e+00
2.422760841621470e+00	-3.164338e+00	-1.375011e+00
2.442760841621469e+00	-3.131189e+00	-1.045750e+00
2.462760841621469e+00	-3.026994e+00	-6.927549e-01
2.483760840621445e+00	-2.859857e+00	-3.053367e-01
2.486080720818388e+00	-2.834814e+00	-2.618526e-01
2.488400601015331e+00	-2.808968e+00	-2.183233e-01
2.490720481212274e+00	-2.782319e+00	-1.747489e-01
2.493040361409217e+00	-2.754866e+00	-1.311294e-01
2.495360241606160e+00	-2.726610e+00	-8.746472e-02
2.497680121803103e+00	-2.697551e+00	-4.375491e-02
2.500000002000046e+00	-2.667688e+00	3.769998e-08
2.501000001000023e+00	-2.654508e+00	1.884940e-02
2.501999999999999e+00	-2.641176e+00	3.769768e-02
2.502999999999998e+00	-2.627694e+00	5.654385e-02
2.508357069164734e+00	-2.551465e+00	1.576774e-01
2.513714138329470e+00	-2.471298e+00	2.581972e-01
2.519071207494206e+00	-2.387193e+00	3.581031e-01
2.524428276658941e+00	-2.299150e+00	4.573953e-01
2.529785345823677e+00	-2.207169e+00	5.560736e-01
2.535142414988413e+00	-2.111250e+00	6.541381e-01
2.540499484153148e+00	-2.011393e+00	7.515888e-01
2.560499484153148e+00	-1.620875e+00	1.101250e+00
2.580499484153147e+00	-1.194342e+00	1.425916e+00
2.600499484153147e+00	-7.407075e-01	1.718219e+00
2.620499484153147e+00	-2.702610e-01	1.971524e+00
2.640499484153146e+00	2.063240e-01	2.180083e+00
2.660499484153146e+00	6.782346e-01	2.339161e+00
2.680499484153145e+00	1.135737e+00	2.445149e+00
2.697918775214070e+00	1.513315e+00	2.492296e+00
2.716955712435198e+00	1.895639e+00	2.494719e+00
2.734869497600826e+00	2.219379e+00	2.450128e+00
2.754869497600826e+00	2.531958e+00	2.347681e+00
2.774869497600825e+00	2.788318e+00	2.191951e+00
2.794869497600825e+00	2.981418e+00	1.986470e+00
2.814869497600824e+00	3.106874e+00	1.735904e+00
2.834869497600824e+00	3.161839e+00	1.445939e+00
2.854869497600824e+00	3.145064e+00	1.123156e+00
2.874869497600823e+00	3.056927e+00	7.748816e-01
2.894869497600823e+00	2.913589e+00	4.090199e-01
2.906477987303218e+00	2.792552e+00	1.918632e-01
2.911232708890443e+00	2.735422e+00	1.023990e-01
2.917666667700026e+00	2.654498e+00	-1.884940e-02
2.920515992315697e+00	2.615797e+00	-7.258768e-02
2.923365316931368e+00	2.575708e+00	-1.262380e-01
2.926214641547040e+00	2.534231e+00	-1.798003e-01
2.929063966162711e+00	2.491367e+00	-2.332747e-01
2.931913290778383e+00	2.447115e+00	-2.866611e-01
2.934762615394054e+00	2.401475e+00	-3.399596e-01
2.937611940009726e+00	2.354447e+00	-3.931701e-01
2.957611940009725e+00	2.002500e+00	-7.595987e-01
2.977611940009725e+00	1.611836e+00	-1.108787e+00
2.997611940009724e+00	1.184598e+00	-1.432810e+00
3.017611940009724e+00	7.304786e-01	-1.724313e+00
3.037611940009723e+00	2.597790e-01	-1.976680e+00
