time	V(y)	V(triangle)
0.000000000000000e+00	3.794367e-02	4.000000e-03
9.999999999976694e-05	3.768218e-02	3.600000e-03
2.999999999993008e-04	3.715913e-02	2.800000e-03
5.999999999986017e-04	3.637428e-02	1.600000e-03
9.999999999976694e-04	3.532749e-02	1.563194e-13
1.003492210106316e-03	3.531835e-02	1.396884e-05
1.010476630327162e-03	3.530006e-02	4.190652e-05
1.024445470765301e-03	3.526349e-02	9.778189e-05
1.046662505054030e-03	3.520532e-02	1.866500e-04
1.071783482245792e-03	3.513955e-02	2.871339e-04
1.100261949638082e-03	3.506500e-02	4.010478e-04
1.130506352442495e-03	3.498585e-02	5.220254e-04
1.174098745629237e-03	3.487183e-02	6.963950e-04
1.224425256047823e-03	3.474031e-02	8.977010e-04
1.277205376297275e-03	3.460253e-02	1.108821e-03
1.332650437326777e-03	3.445792e-02	1.330602e-03
1.395589286538268e-03	3.429386e-02	1.582357e-03
1.459731952230925e-03	3.412670e-02	1.838928e-03
1.523968213476223e-03	3.395931e-02	2.095873e-03
1.582679686851662e-03	3.380635e-02	2.330719e-03
1.646367677928140e-03	3.364056e-02	2.585471e-03
1.709651710168458e-03	3.347600e-02	2.838607e-03
1.776803472850474e-03	3.330161e-02	3.107214e-03
1.856131568885644e-03	3.309577e-02	3.424526e-03
1.929953743601942e-03	3.290429e-02	3.719815e-03
1.933014356374940e-03	3.289635e-02	3.732058e-03
1.939135581920937e-03	3.288048e-02	3.756542e-03
1.951378033012929e-03	3.284872e-02	3.805512e-03
1.975862935196915e-03	3.278521e-02	3.903452e-03
1.999999999998892e-03	3.272260e-02	4.000000e-03
2.002413706478023e-03	3.271635e-02	4.009655e-03
2.007241119439840e-03	3.270382e-02	4.028964e-03
2.016895945363473e-03	3.267878e-02	4.067584e-03
2.036205597207186e-03	3.262872e-02	4.144822e-03
2.074824900894612e-03	3.252862e-02	4.299300e-03
2.129869072675206e-03	3.238607e-02	4.519476e-03
2.193177153746007e-03	3.222232e-02	4.772709e-03
2.285293571578251e-03	3.198432e-02	5.141174e-03
2.357466643172046e-03	3.179797e-02	5.429867e-03
2.430179042413272e-03	3.161028e-02	5.720716e-03
2.501156241500269e-03	3.142710e-02	6.004625e-03
2.570477213968303e-03	3.124833e-02	6.281909e-03
2.641059253715383e-03	3.106652e-02	6.564237e-03
2.707082408672790e-03	3.089667e-02	6.828330e-03
2.780535289783614e-03	3.070789e-02	7.122141e-03
2.846472603451389e-03	3.053849e-02	7.385890e-03
2.911952216095415e-03	3.037029e-02	7.647809e-03
2.995818345432610e-03	3.015493e-02	7.983274e-03
3.065719959007396e-03	2.997560e-02	8.262880e-03
3.135584419066362e-03	2.979659e-02	8.542337e-03
3.207209305891467e-03	2.961331e-02	8.828837e-03
3.277338862218926e-03	2.943398e-02	9.109356e-03
3.347900150384220e-03	2.925360e-02	9.391600e-03
3.414173055514169e-03	2.908421e-02	9.656692e-03
3.487556913803758e-03	2.889673e-02	9.950228e-03
3.553601770267534e-03	2.872818e-02	1.021441e-02
3.619174427495153e-03	2.856106e-02	1.047670e-02
3.703875400717038e-03	2.834543e-02	1.081550e-02
3.773983490479083e-03	2.816706e-02	1.109593e-02
3.844027774480452e-03	2.798889e-02	1.137611e-02
3.916563332985845e-03	2.780443e-02	1.166625e-02
3.987528688480069e-03	2.762410e-02	1.195011e-02
4.057892103883631e-03	2.744552e-02	1.223157e-02
4.124766459845830e-03	2.727602e-02	1.249907e-02
4.197602478125617e-03	2.709157e-02	1.279041e-02
4.263627191654962e-03	2.692444e-02	1.305451e-02
4.329151365347172e-03	2.675861e-02	1.331661e-02
4.417357404804534e-03	2.653546e-02	1.366943e-02
4.488001861979285e-03	2.635692e-02	1.395201e-02
4.558528878700230e-03	2.617892e-02	1.423412e-02
4.634359459465998e-03	2.598777e-02	1.453744e-02
4.704964218827712e-03	2.580991e-02	1.481986e-02
4.774684684544894e-03	2.563433e-02	1.509874e-02
4.842789190163899e-03	2.546285e-02	1.537116e-02
4.914319383505728e-03	2.528285e-02	1.565728e-02
4.980350076881024e-03	2.511688e-02	1.592140e-02
5.045871180232808e-03	2.495241e-02	1.618348e-02
5.127063624861705e-03	2.474883e-02	1.650826e-02
5.195676851322162e-03	2.457688e-02	1.678271e-02
5.264048810399657e-03	2.440557e-02	1.705620e-02
5.341099708640940e-03	2.421257e-02	1.736440e-02
5.411602617559907e-03	2.403612e-02	1.764641e-02
5.481599375499968e-03	2.386117e-02	1.792640e-02
5.549817216177644e-03	2.369089e-02	1.819927e-02
5.621433561767475e-03	2.351228e-02	1.848573e-02
5.694924356614450e-03	2.332906e-02	1.877970e-02
5.761125097993869e-03	2.316404e-02	1.904450e-02
5.839720210079946e-03	2.296823e-02	1.935888e-02
5.907612561532716e-03	2.279925e-02	1.963045e-02
5.975057862499966e-03	2.263162e-02	1.990023e-02
6.056036787047248e-03	2.243060e-02	2.022415e-02
6.126374888292929e-03	2.225611e-02	2.050550e-02
6.196470870150961e-03	2.208227e-02	2.078588e-02
6.267392101133140e-03	2.190642e-02	2.106957e-02
6.339008121358347e-03	2.172898e-02	2.135603e-02
6.410751802416570e-03	2.155144e-02	2.164301e-02
6.477651942180529e-03	2.138611e-02	2.191061e-02
6.552328879610769e-03	2.120176e-02	2.220931e-02
6.619227441479580e-03	2.103668e-02	2.247691e-02
6.685611250535572e-03	2.087290e-02	2.274244e-02
6.771561984322716e-03	2.066093e-02	2.308625e-02
6.842392660491470e-03	2.048643e-02	2.336957e-02
6.913048334396876e-03	2.031261e-02	2.365219e-02
6.987842700620917e-03	2.012884e-02	2.395137e-02
7.059815479024678e-03	1.995213e-02	2.423926e-02
7.130285913710566e-03	1.977916e-02	2.452114e-02
7.198678900909528e-03	1.961133e-02	2.479472e-02
7.271148956554896e-03	1.943360e-02	2.508460e-02
7.337770149295153e-03	1.927041e-02	2.535108e-02
7.403851233121372e-03	1.910877e-02	2.561541e-02
7.486262568004776e-03	1.890741e-02	2.594505e-02
7.555586775971790e-03	1.873811e-02	2.622235e-02
7.624627158616448e-03	1.856956e-02	2.649851e-02
7.703159351315492e-03	1.837789e-02	2.681264e-02
7.774044831929672e-03	1.820505e-02	2.709618e-02
7.844384922695014e-03	1.803377e-02	2.737754e-02
7.914324579331833e-03	1.786370e-02	2.765730e-02
7.986323831527642e-03	1.768877e-02	2.794529e-02
8.059208822370323e-03	1.751175e-02	2.823684e-02
8.126207661742768e-03	1.734906e-02	2.850483e-02
8.202434207987608e-03	1.716406e-02	2.880974e-02
8.270045367137158e-03	1.700015e-02	2.908018e-02
8.337127740539074e-03	1.683776e-02	2.934851e-02
8.422233311339511e-03	1.663199e-02	2.968893e-02
8.493298192266963e-03	1.646028e-02	2.997319e-02
8.564120079633142e-03	1.628921e-02	3.025648e-02
8.638935864190955e-03	1.610855e-02	3.055574e-02
8.711619073409338e-03	1.593319e-02	3.084648e-02
8.782506794879907e-03	1.576239e-02	3.113003e-02
8.851338823145483e-03	1.559678e-02	3.140536e-02
8.924207100989179e-03	1.542162e-02	3.169683e-02
8.991240630685127e-03	1.526055e-02	3.196496e-02
9.057717895760931e-03	1.510084e-02	3.223087e-02
9.139449940818167e-03	1.490459e-02	3.255780e-02
9.208838633824712e-03	1.473816e-02	3.283535e-02
9.277893237776169e-03	1.457277e-02	3.311157e-02
9.357705330916843e-03	1.438186e-02	3.343082e-02
9.428873517123293e-03	1.421176e-02	3.371549e-02
9.499519924695221e-03	1.404294e-02	3.399808e-02
9.570853252668599e-03	1.387253e-02	3.428341e-02
9.643293426442767e-03	1.369962e-02	3.457318e-02
9.715874409184977e-03	1.352660e-02	3.486350e-02
9.783580580482010e-03	1.336543e-02	3.513432e-02
9.858878632329038e-03	1.318637e-02	3.543552e-02
9.926507861877099e-03	1.302563e-02	3.570603e-02
9.993564853360226e-03	1.286628e-02	3.597426e-02
1.008323245796916e-02	1.265332e-02	3.633293e-02
1.015514913815352e-02	1.248270e-02	3.662060e-02
1.022678503780128e-02	1.231301e-02	3.690714e-02
1.030644367760658e-02	1.212457e-02	3.722578e-02
1.037784095105465e-02	1.195578e-02	3.751136e-02
1.044841868164070e-02	1.178899e-02	3.779367e-02
1.052107814318148e-02	1.161733e-02	3.808431e-02
1.059388685458984e-02	1.144546e-02	3.837555e-02
1.066616803472442e-02	1.127506e-02	3.866467e-02
1.073444727650852e-02	1.111433e-02	3.893779e-02
1.080910297294224e-02	1.093878e-02	3.923641e-02
1.087675829462498e-02	1.077976e-02	3.950703e-02
1.094382257895532e-02	1.062217e-02	3.977529e-02
1.103803285581861e-02	1.040091e-02	4.015213e-02
