time	V(y)	V(square)
0.000000000000000e+00	5.979882e-09	0.000000e+00
9.073045276792868e-04	6.393547e-09	0.000000e+00
1.000000000004775e-03	-1.114480e-06	2.842171e-11
1.000407860217933e-03	-2.402633e-06	1.631441e-03
1.001223580637145e-03	-7.487250e-06	4.894323e-03
1.001691366255386e-03	-9.825437e-06	6.765465e-03
1.002175692427443e-03	-1.145913e-05	8.702770e-03
1.002685465550712e-03	-1.322756e-05	1.074186e-02
1.003328792734237e-03	-1.612860e-05	1.331517e-02
1.004144123754713e-03	-2.100905e-05	1.657650e-02
1.005279032760598e-03	-2.991973e-05	2.111613e-02
1.006941682888396e-03	-4.439510e-05	2.776673e-02
1.009016640935556e-03	-6.063201e-05	3.606656e-02
1.012359521610051e-03	-8.023853e-05	4.943809e-02
1.016780991513144e-03	-9.200663e-05	6.712396e-02
1.023335725236052e-03	-8.829441e-05	9.334290e-02
1.029472458156988e-03	-8.263483e-05	1.178898e-01
1.040329579190313e-03	-8.237074e-05	1.613183e-01
1.050824364710934e-03	-8.379546e-05	2.032975e-01
1.058665968621142e-03	-9.814318e-05	2.346639e-01
1.062563157475438e-03	-8.279398e-05	2.502526e-01
1.065229327004147e-03	-3.614115e-05	2.609173e-01
1.066967329734325e-03	-9.294916e-06	2.678693e-01
1.068457094000053e-03	-8.128321e-07	2.738284e-01
1.070016647496175e-03	-8.053105e-07	2.800666e-01
1.071456705304286e-03	-9.666237e-07	2.858268e-01
1.072996881674726e-03	-7.837445e-09	2.919875e-01
1.074561065379953e-03	-7.473084e-07	2.982443e-01
1.077713701537927e-03	-3.073635e-07	3.108548e-01
1.080866337695901e-03	8.774117e-08	3.234654e-01
1.084018973853875e-03	4.380056e-07	3.360759e-01
1.087171610011848e-03	7.434297e-07	3.486864e-01
1.090324246169822e-03	1.004014e-06	3.612970e-01
1.093476882327796e-03	1.219757e-06	3.739075e-01
1.096629518485770e-03	1.390660e-06	3.865181e-01
1.187169165895341e-03	1.797233e-05	7.486767e-01
1.263676695025140e-03	4.403414e-05	1.054707e+00
1.416691753277632e-03	1.298378e-04	1.666767e+00
1.722721869789723e-03	3.966079e-04	2.890887e+00
1.999999999995339e-03	7.203748e-04	4.000000e+00
2.027727813015190e-03	7.597019e-04	4.000000e+00
2.083183439054892e-03	8.481653e-04	4.000000e+00
2.311995622861218e-03	1.264956e-03	4.000000e+00
2.547797486315062e-03	1.801709e-03	4.000000e+00
3.019401213222750e-03	3.194392e-03	4.000000e+00
3.962608667045231e-03	7.256455e-03	4.000000e+00
5.849023574690193e-03	1.776408e-02	4.000000e+00
5.849453058736742e-03	1.776692e-02	4.000000e+00
5.990691954614087e-03	1.883684e-02	4.000000e+00
6.131930850491431e-03	1.993343e-02	4.000000e+00
6.273169746368775e-03	2.105671e-02	4.000000e+00
6.414408642246120e-03	2.220668e-02	4.000000e+00
6.555647538123465e-03	2.338332e-02	4.000000e+00
6.696886434000809e-03	2.458665e-02	4.000000e+00
6.838125329878153e-03	2.581666e-02	4.000000e+00
6.865612308743607e-03	2.606220e-02	4.000000e+00
6.872484053459971e-03	2.612532e-02	4.000000e+00
6.886227542892698e-03	2.626256e-02	4.000000e+00
6.896987730378612e-03	2.637446e-02	4.000000e+00
6.907642935708225e-03	2.648104e-02	4.000000e+00
6.928953346367450e-03	2.668758e-02	4.000000e+00
6.951853268610364e-03	2.690537e-02	4.000000e+00
6.954211063032290e-03	2.693234e-02	4.000000e+00
6.958926651876141e-03	2.699048e-02	4.000000e+00
6.968357829570948e-03	2.708289e-02	4.000000e+00
6.974295565505884e-03	2.712145e-02	4.000000e+00
6.979212869026696e-03	2.715626e-02	4.000000e+00
6.982679595928687e-03	2.718663e-02	4.000000e+00
6.985033989920453e-03	2.720404e-02	4.000000e+00
6.986882971354191e-03	2.721907e-02	4.000000e+00
6.988563022332528e-03	2.723128e-02	4.000000e+00
6.990280161353724e-03	2.724518e-02	4.000000e+00
6.992073469213267e-03	2.725991e-02	4.000000e+00
6.994019153140130e-03	2.727514e-02	4.000000e+00
6.995986220530881e-03	2.729176e-02	4.000000e+00
6.997963139468766e-03	2.730795e-02	4.000000e+00
6.999854957093987e-03	2.732520e-02	4.000000e+00
7.001725914527412e-03	2.734149e-02	4.000000e+00
7.003615855168732e-03	2.735912e-02	4.000000e+00
7.005578194267059e-03	2.737660e-02	4.000000e+00
7.007697816064251e-03	2.739567e-02	4.000000e+00
7.010127870486826e-03	2.741777e-02	4.000000e+00
7.013081435339075e-03	2.744390e-02	4.000000e+00
7.016946868631635e-03	2.747883e-02	4.000000e+00
7.022405578901214e-03	2.752705e-02	4.000000e+00
7.030019120207953e-03	2.759443e-02	4.000000e+00
7.041078252434829e-03	2.769045e-02	4.000000e+00
7.058943788685212e-03	2.784251e-02	4.000000e+00
7.079871199337617e-03	2.802314e-02	4.000000e+00
7.088729009744554e-03	2.810069e-02	4.000000e+00
7.095189183218054e-03	2.815480e-02	4.000000e+00
7.099134258247375e-03	2.818727e-02	4.000000e+00
7.103922117025263e-03	2.822813e-02	4.000000e+00
7.110989534169221e-03	2.828933e-02	4.000000e+00
7.117893506958239e-03	2.834640e-02	4.000000e+00
7.128525305503786e-03	2.842777e-02	4.000000e+00
7.139392706015713e-03	2.851177e-02	4.000000e+00
7.156700705131414e-03	2.865336e-02	4.000000e+00
7.173717870315954e-03	2.879292e-02	4.000000e+00
7.207481603359156e-03	2.906726e-02	4.000000e+00
7.208002199959651e-03	2.906863e-02	4.000000e+00
7.209043393160641e-03	2.907373e-02	4.000000e+00
7.211125779562622e-03	2.910498e-02	4.000000e+00
7.213116093062411e-03	2.913537e-02	4.000000e+00
7.215063361833529e-03	2.915623e-02	4.000000e+00
7.217126101593863e-03	2.917414e-02	4.000000e+00
7.219870517580773e-03	2.919878e-02	4.000000e+00
7.223314709229101e-03	2.923192e-02	4.000000e+00
7.227467128011256e-03	2.927455e-02	4.000000e+00
7.233202596772514e-03	2.933172e-02	4.000000e+00
7.240058865271237e-03	2.939659e-02	4.000000e+00
7.248149514730073e-03	2.946991e-02	4.000000e+00
7.258930479089543e-03	2.956770e-02	4.000000e+00
7.273591982482230e-03	2.970272e-02	4.000000e+00
7.295027232068207e-03	2.990472e-02	4.000000e+00
7.318105476265657e-03	3.012009e-02	4.000000e+00
7.327578110725597e-03	3.020673e-02	4.000000e+00
7.334594928629201e-03	3.027480e-02	4.000000e+00
7.338729152579049e-03	3.031573e-02	4.000000e+00
7.343792533113458e-03	3.036383e-02	4.000000e+00
7.350578249521789e-03	3.042798e-02	4.000000e+00
7.357212014724723e-03	3.049354e-02	4.000000e+00
7.367361445432152e-03	3.059863e-02	4.000000e+00
7.378027344465465e-03	3.070704e-02	4.000000e+00
7.395584962402779e-03	3.087924e-02	4.000000e+00
7.415282263053768e-03	3.106823e-02	4.000000e+00
7.420206588214739e-03	3.111556e-02	4.000000e+00
7.430055238536681e-03	3.121333e-02	4.000000e+00
7.432517401120720e-03	3.124141e-02	4.000000e+00
7.437441726281691e-03	3.129930e-02	4.000000e+00
7.445919359291508e-03	3.138017e-02	4.000000e+00
7.451395686310036e-03	3.141426e-02	4.000000e+00
7.455966660714353e-03	3.144556e-02	4.000000e+00
7.459121507132238e-03	3.147428e-02	4.000000e+00
7.461276053959409e-03	3.149043e-02	4.000000e+00
7.462987258733733e-03	3.150455e-02	4.000000e+00
7.464563023724224e-03	3.151587e-02	4.000000e+00
7.466174845227158e-03	3.152842e-02	4.000000e+00
7.467983259587641e-03	3.154360e-02	4.000000e+00
7.469998190778426e-03	3.155932e-02	4.000000e+00
7.471839780400558e-03	3.157485e-02	4.000000e+00
7.473786730962217e-03	3.159020e-02	4.000000e+00
7.475584443106698e-03	3.160607e-02	4.000000e+00
7.477389272963819e-03	3.162139e-02	4.000000e+00
7.479210064559538e-03	3.163825e-02	4.000000e+00
7.481073376823133e-03	3.165501e-02	4.000000e+00
7.483124259884733e-03	3.167338e-02	4.000000e+00
7.485515866477499e-03	3.169527e-02	4.000000e+00
7.488522700441536e-03	3.172183e-02	4.000000e+00
7.492684378128445e-03	3.175950e-02	4.000000e+00
7.498539357598588e-03	3.181139e-02	4.000000e+00
7.505708271949629e-03	3.187492e-02	4.000000e+00
7.516379381783622e-03	3.196785e-02	4.000000e+00
7.532523311120087e-03	3.210565e-02	4.000000e+00
7.559113957448460e-03	3.233855e-02	4.000000e+00
7.567617076851718e-03	3.241311e-02	4.000000e+00
7.574708251070206e-03	3.247151e-02	4.000000e+00
7.579108386543965e-03	3.250661e-02	4.000000e+00
7.582699593790210e-03	3.253672e-02	4.000000e+00
